Name!Surface area!Latitude!Longitude
Megali Prespa!28,168 ha!40.838036!21.060499
Trichonida!9,652 ha!38.565019! 21.558811
Volvi!7,202 ha!40.680379! 23.470403
Vistonida!5,400 ha!41.047022! 25.105842
Vegoritida!5,397 ha!40.762832! 21.797213
Koroneia!4,816 ha!40.683392! 23.150060
Mikri Prespa!4,738 ha!40.760633! 21.087825
Doïrani!3,885 ha!41.216735! 22.774723
Karla!3,493 ha!39.491574! 22.825285
Lake of Kastoria!2,885 ha!40.527360! 21.290242
Yliki!1,959 ha!38.418819! 23.266126
Pamvotida!1,924 ha!39.667563! 20.891237
